Node ID;Shell index;Betweenness centrality
77;8.00;0.29
78;8.00;0.08
79;8.00;0.17
80;8.00;0.86
81;8.00;0.28
82;8.00;1.00
83;9.00;0.12
84;8.00;0.15
85;8.00;0.16
86;8.00;0.31
87;8.00;0.37
88;8.00;0.56
89;8.00;0.46
90;8.00;0.18
91;8.00;0.44
92;8.00;0.68
93;8.00;0.36
94;8.00;0.08
95;8.00;0.13
96;8.00;0.13
97;8.00;0.24
98;8.00;0.36
99;8.00;0.20
100;8.00;0.29
101;8.00;0.50
102;8.00;0.42
103;8.00;0.35
104;8.00;0.52
105;8.00;0.04
106;8.00;0.57
107;8.00;0.24
108;8.00;0.00
109;8.00;0.20
110;8.00;0.37
111;8.00;0.15
112;8.00;0.28
113;8.00;0.11
114;8.00;0.24
Spearmans correlation;-0.10
